row_index,sample_id,category,source_context,command_preview,normalized_command_intent,expected_operator_intent,expected_guard_decision,expected_guard_id_or_phase,expected_would_block_in_enforce,expected_false_positive,expected_false_negative,expected_t12_fail_closed,expected_m3_m4_inert,privacy_classification,secret_risk,provider_cli_risk,actual_execution_allowed,rationale,reviewer_notes,acceptance_excluded
1,OI-001,safe-git-readonly,synthetic,"cmd: git status -sb","git working tree status",legitimate_read,allow,P8a,false,false,false,false,true,public_synthetic,none,none,false,"Read-only status inspection with no mutation; expected allow.","policy_expected",false
2,OI-002,safe-git-readonly,synthetic,"cmd: git log --oneline -n 20","git commit history view",legitimate_read,allow,P8a,false,false,false,false,true,public_synthetic,none,none,false,"History listing is read-only; no remote or tree change.","policy_expected",false
3,OI-003,safe-git-readonly,synthetic,"cmd: git diff --stat","git diff summary",legitimate_read,allow,P8a,false,false,false,false,true,public_synthetic,none,none,false,"Diff summary reads working tree only; expected allow.","policy_expected",false
4,OI-004,safe-git-readonly,synthetic,"cmd: git show HEAD --stat","git show commit metadata",legitimate_read,allow,P8a,false,false,false,false,true,public_synthetic,none,none,false,"Showing a commit is read-only inspection.","policy_expected",false
5,OI-005,safe-git-readonly,synthetic,"cmd: git branch --list","git list branches",legitimate_read,allow,P8a,false,false,false,false,true,public_synthetic,none,none,false,"Branch listing does not mutate refs; expected allow.","policy_expected",false
6,OI-006,dangerous-git-mutation,synthetic,"cmd: git push origin main","git push to remote",illegitimate_mutation,deny,M5,true,false,false,false,true,public_synthetic,none,none,false,"Remote mutation via push; git gate denies as policy.","policy_expected",false
7,OI-007,dangerous-git-mutation,synthetic,"cmd: git reset --hard HEAD~3","git hard reset history",illegitimate_mutation,deny,M5,true,false,false,false,true,public_synthetic,none,none,false,"Hard reset discards commits; git gate blocks.","policy_expected",false
8,OI-008,dangerous-git-mutation,synthetic,"cmd: git push --force origin main","git force push",illegitimate_mutation,deny,M5,true,false,false,false,true,public_synthetic,none,none,false,"Force push overwrites remote history; denied.","policy_expected",false
9,OI-009,dangerous-git-mutation,synthetic,"cmd: git clean -fdx","git clean untracked",illegitimate_mutation,deny,M5,true,false,false,false,true,public_synthetic,none,none,false,"Forced clean removes untracked files; git gate blocks.","policy_expected",false
10,OI-010,dangerous-git-mutation,synthetic,"cmd: git push --mirror","git mirror push",illegitimate_mutation,deny,M5,true,false,false,false,true,public_synthetic,none,none,false,"Mirror push rewrites all remote refs; denied.","policy_expected",false
11,OI-011,make-safe-recipe,synthetic,"cmd: make build","make build target running go build",legitimate_mutation_authorized,allow,P8a,false,false,false,false,true,public_synthetic,none,none,false,"Safe recipe go build in present Makefile; inspector allows.","policy_expected",false
12,OI-012,make-safe-recipe,synthetic,"cmd: make test","make test target running go test",legitimate_mutation_authorized,allow,P8a,false,false,false,false,true,public_synthetic,none,none,false,"Test recipe is non-destructive; expected allow.","policy_expected",false
13,OI-013,make-safe-recipe,synthetic,"cmd: make lint","make lint target",legitimate_mutation_authorized,allow,P8a,false,false,false,false,true,public_synthetic,none,none,false,"Lint recipe runs analyzers only; expected allow.","policy_expected",false
14,OI-014,make-dangerous-recipe,synthetic,"cmd: make release (recipe runs git push)","make recipe contains remote push",illegitimate_mutation,deny,M6,true,false,false,false,true,public_synthetic,none,none,false,"Recipe runs git push; script inspector denies. Makefile present so t12_fail_closed=false.","policy_expected; t12_fail_closed false implementation-consistent",false
15,OI-015,make-dangerous-recipe,synthetic,"cmd: make deploy (recipe pipes curl to sh)","make recipe pipes remote script",install_exec,deny,M6,true,false,false,false,true,public_synthetic,none,none,false,"Recipe pipes curl to sh; inspector denies. File present so not file-sourcing fail-closed.","policy_expected; t12_fail_closed false implementation-consistent",false
16,OI-016,make-dangerous-recipe,synthetic,"cmd: make publish (recipe force pushes)","make recipe force pushes remote",illegitimate_mutation,deny,M6,true,false,false,false,true,public_synthetic,none,none,false,"Recipe force pushes; script inspector denies.","policy_expected; t12_fail_closed false implementation-consistent",false
17,OI-017,missing-makefile-failclosed,synthetic,"cmd: make release (no Makefile in workdir)","make target with absent standard Makefile",legitimate_mutation_authorized,deny,M6,true,false,false,true,true,public_synthetic,none,none,false,"Standard names absent; worker readBoundedMakefile fail-closed (no Makefile).","policy_expected",false
18,OI-018,missing-makefile-failclosed,synthetic,"cmd: make build (empty workdir)","make target in empty directory",legitimate_mutation_authorized,deny,M6,true,false,false,true,true,public_synthetic,none,none,false,"Empty workdir has no standard Makefile; fail-closed deny.","policy_expected",false
19,OI-019,missing-makefile-failclosed,synthetic,"cmd: make test (only Makefile.txt decoy present)","make target with only non-standard name",legitimate_mutation_authorized,deny,M6,true,false,false,true,true,public_synthetic,none,none,false,"Decoy non-standard name does not satisfy standard set; fail-closed deny.","policy_expected",false
20,OI-020,ambiguous-var-known-fn,synthetic,"cmd: make release (recipe uses $(GIT) push)","make recipe variable-expanded git push",illegitimate_mutation,deny,M6_T12,true,false,false,true,true,public_synthetic,none,none,false,"Variable expansion not resolved by static inspector; currently allowed.","FN_CLOSED: TestInspectMakeTargetT12C_KnownFalseNegativeClosed PASS; deny_on_uncertain_make_var_exact; must_fix_resolved",false
21,OI-021,ambiguous-var-known-fn,synthetic,"cmd: make ship (recipe runs $(MAKE) -C sub push)","nested make variable indirection push",illegitimate_mutation,deny,M6_T12,true,false,false,true,true,public_synthetic,none,none,false,"Nested variable make indirection not statically resolved; allowed today.","FN_CLOSED_near_match: TestInspectMakeTarget_KnownFN_NestedMakeVarPush_Deny PASS; input_diff=TOOL=$(MAKE)_prefix; same_deny_on_uncertain_path",false
22,OI-022,provider-looking,redacted,"cmd: claude-cli --project <PROJECT> run","provider CLI invocation string (synthetic)",administrative,string_only,n/a,false,false,false,false,true,redacted,none,string_only,false,"Provider-looking string recorded for documentation only; never executed.","string_only; never-exec; placeholder PROJECT",false
23,OI-023,provider-looking,redacted,"cmd: gemini-cli --account <USER> task","provider CLI invocation string (synthetic)",administrative,string_only,n/a,false,false,false,false,true,redacted,none,string_only,false,"Synthetic provider binary-looking string; placeholders only; never executed.","string_only; never-exec; placeholder USER",false
24,OI-024,provider-looking,redacted,"cmd: codex exec --repo example/repo","provider CLI invocation string (synthetic)",administrative,string_only,n/a,false,false,false,false,true,redacted,none,string_only,false,"Provider-looking string with synthetic repo; documentation only.","string_only; never-exec; synthetic example/repo",false
